Progetto;#Training Release;%Training;%Buggy in training;%Buggy in test;Classifier;Feature selection;Balancing;TP;FP;TN;FN;Precision;Recall;Area Under ROC;Kappa
BOOKKEEPER;2;0.65;0.50;0.18;Naive Bayes;Best First;Smote;55.00;122.00;240.00;22.00;0.31;0.71;0.77;0.25
BOOKKEEPER;3;0.78;0.50;0.27;Naive Bayes;Best First;Smote;46.00;1.00;321.00;72.00;0.98;0.39;0.89;0.48
BOOKKEEPER;4;0.83;0.50;0.32;Naive Bayes;Best First;Smote;125.00;116.00;187.00;18.00;0.52;0.87;0.84;0.42
BOOKKEEPER;5;0.86;0.50;0.32;Naive Bayes;Best First;Smote;136.00;301.00;7.00;8.00;0.31;0.94;0.70;-0.02
BOOKKEEPER;6;0.83;0.50;0.08;Naive Bayes;Best First;Smote;47.00;605.00;31.00;6.00;0.07;0.89;0.64;-0.01
BOOKKEEPER;7;0.87;0.50;0.04;Naive Bayes;Best First;Smote;6.00;37.00;626.00;24.00;0.14;0.20;0.74;0.12
BOOKKEEPER;8;0.90;0.50;0.07;Naive Bayes;Best First;Smote;5.00;15.00;635.00;41.00;0.25;0.11;0.71;0.12
BOOKKEEPER;9;0.96;0.50;0.09;Naive Bayes;Best First;Smote;10.00;24.00;284.00;19.00;0.29;0.34;0.73;0.25
MEAN;;;;;;;;54.00;161.56;259.22;24.44;0.34;0.59;0.73;0.17
;
BOOKKEEPER;1;0.44;0.30;0.22;IBk;no feature selection;no resample;28.00;35.00;200.00;38.00;0.44;0.42;0.69;0.28
BOOKKEEPER;2;0.55;0.26;0.18;IBk;no feature selection;no resample;38.00;80.00;282.00;39.00;0.32;0.49;0.67;0.23
BOOKKEEPER;3;0.69;0.22;0.27;IBk;no feature selection;no resample;17.00;12.00;310.00;101.00;0.59;0.14;0.67;0.14
BOOKKEEPER;4;0.76;0.24;0.32;IBk;no feature selection;no resample;73.00;46.00;257.00;70.00;0.61;0.51;0.74;0.38
BOOKKEEPER;5;0.81;0.26;0.32;IBk;no feature selection;no resample;63.00;33.00;275.00;81.00;0.66;0.44;0.75;0.36
BOOKKEEPER;6;0.77;0.27;0.08;IBk;no feature selection;no resample;24.00;138.00;498.00;29.00;0.15;0.45;0.68;0.12
BOOKKEEPER;7;0.81;0.22;0.04;IBk;no feature selection;no resample;11.00;50.00;613.00;19.00;0.18;0.37;0.80;0.20
BOOKKEEPER;8;0.84;0.19;0.07;IBk;no feature selection;no resample;16.00;38.00;612.00;30.00;0.30;0.35;0.78;0.27
BOOKKEEPER;9;0.93;0.17;0.09;IBk;no feature selection;no resample;16.00;44.00;264.00;13.00;0.27;0.55;0.74;0.28
MEAN;;;;;;;;31.78;52.89;367.89;46.67;0.39;0.41;0.72;0.25
;
BOOKKEEPER;1;0.53;0.50;0.22;IBk;no feature selection;Oversampling;36.00;59.00;176.00;30.00;0.38;0.55;0.64;0.25
BOOKKEEPER;2;0.65;0.50;0.18;IBk;no feature selection;Oversampling;41.00;102.00;260.00;36.00;0.29;0.53;0.66;0.19
