Progetto;#Training Release;%Training;%Buggy in training;%Buggy in test;Classifier;Feature selection;Sensitivity;Balancing;TP;FP;TN;FN;Precision;Recall;Area Under ROC;Kappa
BOOKKEEPER;6;0.82;0.49;0.10;Random Forest;no feature selection;threshold;Smote;47.00;151.00;466.00;25.00;0.24;0.65;0.70;0.23
BOOKKEEPER;7;0.85;0.43;0.08;Random Forest;no feature selection;threshold;Smote;1.00;8.00;632.00;52.00;0.11;0.02;0.50;0.01
BOOKKEEPER;8;0.89;0.48;0.09;Random Forest;no feature selection;threshold;Smote;22.00;67.00;563.00;44.00;0.25;0.33;0.61;0.20
BOOKKEEPER;9;0.95;0.45;0.09;Random Forest;no feature selection;threshold;Smote;3.00;5.00;303.00;26.00;0.38;0.10;0.54;0.13
MEAN;;;;;;;;40.89;30.00;369.89;58.44;0.49;0.32;0.63;0.25
;
BOOKKEEPER;1;0.51;0.47;0.22;Random Forest;no feature selection;sensitive learning;Smote;22.00;9.00;226.00;44.00;0.71;0.33;0.72;0.36
BOOKKEEPER;2;0.61;0.41;0.18;Random Forest;no feature selection;sensitive learning;Smote;22.00;23.00;339.00;55.00;0.49;0.29;0.75;0.27
BOOKKEEPER;3;0.76;0.46;0.27;Random Forest;no feature selection;sensitive learning;Smote;15.00;13.00;309.00;103.00;0.54;0.13;0.72;0.11
BOOKKEEPER;4;0.82;0.48;0.46;Random Forest;no feature selection;sensitive learning;Smote;128.00;4.00;237.00;77.00;0.97;0.62;0.86;0.62
BOOKKEEPER;5;0.84;0.45;0.46;Random Forest;no feature selection;sensitive learning;Smote;192.00;6.00;238.00;16.00;0.97;0.92;0.99;0.90
BOOKKEEPER;6;0.82;0.49;0.10;Random Forest;no feature selection;sensitive learning;Smote;50.00;158.00;459.00;22.00;0.24;0.69;0.76;0.24
BOOKKEEPER;7;0.85;0.43;0.08;Random Forest;no feature selection;sensitive learning;Smote;0.00;7.00;633.00;53.00;0.00;0.00;0.00;0.00
BOOKKEEPER;8;0.89;0.48;0.09;Random Forest;no feature selection;sensitive learning;Smote;47.00;114.00;516.00;19.00;0.29;0.71;0.84;0.32
BOOKKEEPER;9;0.95;0.45;0.09;Random Forest;no feature selection;sensitive learning;Smote;10.00;17.00;291.00;19.00;0.37;0.34;0.78;0.30
MEAN;;;;;;;;54.00;39.00;360.89;45.33;0.51;0.45;0.72;0.35
;
BOOKKEEPER;1;0.44;0.30;0.22;Random Forest;Best First;no sensitive;no resample;17.00;3.00;232.00;49.00;0.85;0.26;0.72;0.33
BOOKKEEPER;2;0.55;0.26;0.18;Random Forest;Best First;no sensitive;no resample;16.00;11.00;351.00;61.00;0.59;0.21;0.76;0.24
BOOKKEEPER;3;0.69;0.22;0.27;Random Forest;Best First;no sensitive;no resample;7.00;1.00;321.00;111.00;0.88;0.06;0.81;0.08
BOOKKEEPER;4;0.76;0.24;0.46;Random Forest;Best First;no sensitive;no resample;93.00;0.00;241.00;112.00;1.00;0.45;0.86;0.47
BOOKKEEPER;5;0.81;0.29;0.46;Random Forest;Best First;no sensitive;no resample;176.00;2.00;242.00;32.00;0.99;0.85;0.99;0.85
BOOKKEEPER;6;0.77;0.32;0.10;Random Forest;Best First;no sensitive;no resample;58.00;352.00;265.00;14.00;0.14;0.81;0.68;0.08
BOOKKEEPER;7;0.81;0.27;0.08;Random Forest;Best First;no sensitive;no resample;0.00;13.00;627.00;53.00;0.00;0.00;0.00;0.00
BOOKKEEPER;8;0.84;0.24;0.09;Random Forest;Best First;no sensitive;no resample;42.00;102.00;528.00;24.00;0.29;0.64;0.82;0.31
BOOKKEEPER;9;0.93;0.21;0.09;Random Forest;Best First;no sensitive;no resample;0.00;0.00;308.00;29.00;0.00;0.00;0.00;0.00
MEAN;;;;;;;;45.44;53.78;346.11;53.89;0.53;0.36;0.63;0.26
;
BOOKKEEPER;1;0.44;0.30;0.22;Random Forest;Best First;threshold;no resample;20.00;11.00;224.00;46.00;0.65;0.30;0.63;0.32
BOOKKEEPER;2;0.55;0.26;0.18;Random Forest;Best First;threshold;no resample;15.00;13.00;349.00;62.00;0.54;0.19;0.58;0.21
BOOKKEEPER;3;0.69;0.22;0.27;Random Forest;Best First;threshold;no resample;13.00;3.00;319.00;105.00;0.81;0.11;0.55;0.14
BOOKKEEPER;4;0.76;0.24;0.46;Random Forest;Best First;threshold;no resample;108.00;1.00;240.00;97.00;0.99;0.53;0.76;0.54
BOOKKEEPER;5;0.81;0.29;0.46;Random Forest;Best First;threshold;no resample;169.00;1.00;243.00;39.00;0.99;0.81;0.90;0.82
BOOKKEEPER;6;0.77;0.32;0.10;Random Forest;Best First;threshold;no resample;55.00;344.00;273.00;17.00;0.14;0.76;0.60;0.07
BOOKKEEPER;7;0.81;0.27;0.08;Random Forest;Best First;threshold;no resample;1.00;39.00;601.00;52.00;0.03;0.02;0.48;-0.05
BOOKKEEPER;8;0.84;0.24;0.09;Random Forest;Best First;threshold;no resample;36.00;94.00;536.00;30.00;0.28;0.55;0.70;0.28
BOOKKEEPER;9;0.93;0.21;0.09;Random Forest;Best First;threshold;no resample;0.00;0.00;308.00;29.00;0.00;0.00;0.00;0.00
MEAN;;;;;;;;46.33;56.22;343.67;53.00;0.49;0.36;0.58;0.26
;
BOOKKEEPER;1;0.44;0.30;0.22;Random Forest;Best First;sensitive learning;no resample;17.00;3.00;232.00;49.00;0.85;0.26;0.72;0.33
