Progetto;#Training Release;%Training;%Buggy in training;%Buggy in test;Classifier;Feature selection;Sensitivity;Balancing;TP;FP;TN;FN;Precision;Recall;Area Under ROC;Kappa
SYNCOPE;17;0.96;0.50;0.72;Random Forest;no feature selection;threshold;Oversampling;1.00;1.00;213.00;548.00;0.50;0.00;0.50;-0.00
SYNCOPE;18;0.96;0.50;0.62;Random Forest;no feature selection;threshold;Oversampling;2.00;20.00;273.00;468.00;0.09;0.00;0.47;-0.05
SYNCOPE;19;0.96;0.50;0.81;Random Forest;no feature selection;threshold;Oversampling;0.00;1.00;168.00;704.00;0.00;0.00;0.00;0.00
SYNCOPE;20;0.96;0.50;0.82;Random Forest;no feature selection;threshold;Oversampling;12.00;10.00;155.00;716.00;0.55;0.02;0.48;-0.02
SYNCOPE;21;0.96;0.50;0.13;Random Forest;no feature selection;threshold;Oversampling;3.00;11.00;769.00;116.00;0.21;0.03;0.51;0.02
SYNCOPE;22;0.96;0.50;0.99;Random Forest;no feature selection;threshold;Oversampling;0.00;0.00;13.00;889.00;0.00;0.00;0.00;0.00
SYNCOPE;23;0.96;0.50;0.99;Random Forest;no feature selection;threshold;Oversampling;14.00;0.00;5.00;885.00;1.00;0.02;0.51;0.00
SYNCOPE;24;0.96;0.50;1.00;Random Forest;no feature selection;threshold;Oversampling;236.00;0.00;4.00;671.00;1.00;0.26;0.63;0.00
SYNCOPE;25;0.96;0.50;0.03;Random Forest;no feature selection;threshold;Oversampling;21.00;886.00;3.00;2.00;0.02;0.91;0.46;-0.00
SYNCOPE;26;0.94;0.50;0.01;Random Forest;no feature selection;threshold;Oversampling;0.00;0.00;1425.00;13.00;0.00;0.00;0.00;0.00
SYNCOPE;27;0.94;0.50;0.01;Random Forest;no feature selection;threshold;Oversampling;0.00;0.00;1569.00;8.00;0.00;0.00;0.00;0.00
SYNCOPE;28;0.95;0.50;0.01;Random Forest;no feature selection;threshold;Oversampling;0.00;0.00;1657.00;25.00;0.00;0.00;0.00;0.00
SYNCOPE;29;0.95;0.50;0.07;Random Forest;no feature selection;threshold;Oversampling;0.00;0.00;1593.00;118.00;0.00;0.00;0.00;0.00
SYNCOPE;30;0.95;0.50;0.01;Random Forest;no feature selection;threshold;Oversampling;7.00;336.00;1401.00;7.00;0.02;0.50;0.65;0.02
MEAN;;;;;;;;;26.60;61.13;573.90;211.30;0.22;0.19;0.27;0.07
;;;;;;;;;;;;;;;;
SYNCOPE;1;0.67;0.50;0.00;Random Forest;no feature selection;sensitive learning;Oversampling;0.00;0.00;547.00;2.00;0.00;0.00;0.00;0.00
SYNCOPE;2;0.80;0.50;0.00;Random Forest;no feature selection;sensitive learning;Oversampling;2.00;1.00;546.00;0.00;0.67;1.00;1.00;0.80
SYNCOPE;3;0.86;0.50;0.00;Random Forest;no feature selection;sensitive learning;Oversampling;2.00;2.00;546.00;0.00;0.50;1.00;1.00;0.67
SYNCOPE;4;0.89;0.50;0.01;Random Forest;no feature selection;sensitive learning;Oversampling;0.00;0.00;545.00;5.00;0.00;0.00;0.00;0.00
SYNCOPE;5;0.91;0.50;0.13;Random Forest;no feature selection;sensitive learning;Oversampling;1.00;0.00;480.00;71.00;1.00;0.01;0.61;0.02
SYNCOPE;6;0.92;0.50;0.07;Random Forest;no feature selection;sensitive learning;Oversampling;11.00;56.00;464.00;28.00;0.16;0.28;0.75;0.13
SYNCOPE;7;0.93;0.50;0.07;Random Forest;no feature selection;sensitive learning;Oversampling;3.00;5.00;515.00;36.00;0.38;0.08;0.79;0.11
SYNCOPE;8;0.92;0.50;0.04;Random Forest;no feature selection;sensitive learning;Oversampling;0.00;0.00;708.00;27.00;0.00;0.00;0.00;0.00
SYNCOPE;9;0.95;0.50;0.05;Random Forest;no feature selection;sensitive learning;Oversampling;3.00;3.00;529.00;23.00;0.50;0.12;0.83;0.17
SYNCOPE;10;0.94;0.50;0.04;Random Forest;no feature selection;sensitive learning;Oversampling;5.00;7.00;699.00;25.00;0.42;0.17;0.72;0.22
SYNCOPE;11;0.94;0.50;0.04;Random Forest;no feature selection;sensitive learning;Oversampling;0.00;6.00;706.00;27.00;0.00;0.00;0.00;0.00
SYNCOPE;12;0.95;0.50;0.48;Random Forest;no feature selection;sensitive learning;Oversampling;22.00;1.00;388.00;332.00;0.96;0.06;0.57;0.06
SYNCOPE;13;0.95;0.50;0.62;Random Forest;no feature selection;sensitive learning;Oversampling;105.00;4.00;279.00;360.00;0.96;0.23;0.82;0.17
SYNCOPE;14;0.95;0.50;0.70;Random Forest;no feature selection;sensitive learning;Oversampling;479.00;58.00;169.00;55.00;0.89;0.90;0.90;0.64
SYNCOPE;15;0.95;0.50;0.04;Random Forest;no feature selection;sensitive learning;Oversampling;32.00;533.00;196.00;0.00;0.06;1.00;0.81;0.03
SYNCOPE;16;0.97;0.50;0.03;Random Forest;no feature selection;sensitive learning;Oversampling;0.00;1.00;544.00;15.00;0.00;0.00;0.00;0.00
SYNCOPE;17;0.96;0.50;0.72;Random Forest;no feature selection;sensitive learning;Oversampling;6.00;1.00;213.00;543.00;0.86;0.01;0.63;0.00
SYNCOPE;18;0.96;0.50;0.62;Random Forest;no feature selection;sensitive learning;Oversampling;1.00;21.00;272.00;469.00;0.05;0.00;0.74;-0.05
SYNCOPE;19;0.96;0.50;0.81;Random Forest;no feature selection;sensitive learning;Oversampling;467.00;2.00;167.00;237.00;1.00;0.66;0.98;0.43
SYNCOPE;20;0.96;0.50;0.82;Random Forest;no feature selection;sensitive learning;Oversampling;709.00;5.00;160.00;19.00;0.99;0.97;0.99;0.91
SYNCOPE;21;0.96;0.50;0.13;Random Forest;no feature selection;sensitive learning;Oversampling;91.00;647.00;133.00;28.00;0.12;0.76;0.52;-0.02
